x-axis,1,2
second,Volt,Volt
+0.0E+00,+2.170854E+00,+2.982475E+00
+5.000E-03,+2.241206E+00,+2.992525E+00
+10.000E-03,+2.251256E+00,+3.022676E+00
+15.000E-03,+2.241206E+00,+3.022676E+00
+20.000E-03,+2.211055E+00,+2.982475E+00
+25.000E-03,+2.261307E+00,+2.982475E+00
+30.000E-03,+2.271357E+00,+3.002575E+00
+35.000E-03,+2.221106E+00,+3.002575E+00
+40.000E-03,+2.211055E+00,+2.982475E+00
+45.000E-03,+2.221106E+00,+2.982475E+00
+50.000E-03,+2.251256E+00,+3.022676E+00
+55.000E-03,+2.241206E+00,+3.012626E+00
+60.000E-03,+2.251256E+00,+2.982475E+00
+65.000E-03,+2.221106E+00,+3.012626E+00
+70.000E-03,+2.271357E+00,+3.082977E+00
+75.000E-03,+2.221106E+00,+3.042776E+00
+80.000E-03,+2.170854E+00,+3.062877E+00
+85.000E-03,+2.251256E+00,+3.062877E+00
+90.000E-03,+2.251256E+00,+3.062877E+00
+95.000E-03,+2.241206E+00,+3.153329E+00
+100.000E-03,+2.211055E+00,+3.103078E+00
+105.000E-03,+2.271357E+00,+3.103078E+00
+110.000E-03,+2.291457E+00,+3.103078E+00
+115.000E-03,+2.261307E+00,+3.103078E+00
+120.000E-03,+2.170854E+00,+3.062877E+00
+125.000E-03,+2.231156E+00,+3.042776E+00
+130.000E-03,+2.251256E+00,+3.082977E+00
+135.000E-03,+2.201005E+00,+3.072927E+00
+140.000E-03,+2.170854E+00,+3.062877E+00
+145.000E-03,+2.170854E+00,+3.062877E+00
+150.000E-03,+2.170854E+00,+3.082977E+00
+155.000E-03,+2.130653E+00,+3.032726E+00
+160.000E-03,+2.090452E+00,+3.062877E+00
+165.000E-03,+2.090452E+00,+3.052827E+00
+170.000E-03,+2.150754E+00,+3.042776E+00
+175.000E-03,+2.120603E+00,+3.032726E+00
+180.000E-03,+2.010050E+00,+2.982475E+00
+185.000E-03,+2.150754E+00,+3.022676E+00
+190.000E-03,+2.170854E+00,+3.022676E+00
+195.000E-03,+2.100502E+00,+3.022676E+00
+200.000E-03,+2.050251E+00,+3.022676E+00
+205.000E-03,+2.130653E+00,+2.982475E+00
+210.000E-03,+2.150754E+00,+3.042776E+00
+215.000E-03,+2.130653E+00,+2.992525E+00
+220.000E-03,+2.090452E+00,+2.942274E+00
+225.000E-03,+2.160804E+00,+3.002575E+00
+230.000E-03,+2.170854E+00,+3.042776E+00
+235.000E-03,+2.170854E+00,+3.022676E+00
+240.000E-03,+2.130653E+00,+2.982475E+00
